,Clan,Generation,Sire,Childer,Name,Link
0,Tremere,"['5th (originally)', '4th (through diablerie)']",Meerlinda,Several,Abetorius,https://whitewolf.fandom.com/wiki/Abetorius
1,Tremere,6th,Unknown,Hannah,Abigail,https://whitewolf.fandom.com/wiki/Abigail
2,Tremere,11th,Aisling Sturbridge,,Agathon,https://whitewolf.fandom.com/wiki/Agathon
3,Tremere antitribu,10th,Unknown,,Alejandro Aguirre,https://whitewolf.fandom.com/wiki/Alejandro_Aguirre
4,Tremere Gargoyle,,,,Alabástrom,https://whitewolf.fandom.com/wiki/Alab%C3%A1strom
5,Tremere,,,Deverra,Alferic,https://whitewolf.fandom.com/wiki/Alferic
6,Tremere,11th,,Almiro Suarez (1991),Ramon Alvaro,https://whitewolf.fandom.com/wiki/Ramon_Alvaro
7,Tremere,unknown,,,Alys,https://whitewolf.fandom.com/wiki/Alys
8,Tremere,8th,Unknown,"['Daphne (first Childe)', 'Valois Sang']",Annabelle,https://whitewolf.fandom.com/wiki/Annabelle
9,Tremere,5th,Meerlinda,,Anton Wellig,https://whitewolf.fandom.com/wiki/Anton_Wellig
10,Tremere,6th,Stromberg,"['Erichtho (1897)', 'Abraham DuSable (1943)']",Nicolai Antonescu,https://whitewolf.fandom.com/wiki/Nicolai_Antonescu
11,Tremere (antitribu),,,,Ayelea,https://whitewolf.fandom.com/wiki/Ayelea
12,Tremere,possibly 8th or 9th,,,Ayelech,https://whitewolf.fandom.com/wiki/Ayelech
13,Tremere,7th,Elaine de Calinot,Emma Blake,Edward Bainbridge,https://whitewolf.fandom.com/wiki/Edward_Bainbridge
14,Tremere,,Unknown,,Baladin,https://whitewolf.fandom.com/wiki/Baladin
15,Tremere,13th,Olivia Fairchild,,Clarence Bartleby,https://whitewolf.fandom.com/wiki/Clarence_Bartleby
16,Tremere,unknown,,,Benedict (Tremere),https://whitewolf.fandom.com/wiki/Benedict_(Tremere)
17,Tremere,6th,LeDuc,Thomas de Cherbourg,Maître Benoît,https://whitewolf.fandom.com/wiki/Ma%C3%AEtre_Beno%C3%AEt
18,Tremere,5th (Likely through diablerie),Etrius,,Bitiurges,https://whitewolf.fandom.com/wiki/Bitiurges
19,Tremere,8th,Edward Bainbridge,,Emma Blake,https://whitewolf.fandom.com/wiki/Emma_Blake
20,Tremere,,,,Mato Blomquist,https://whitewolf.fandom.com/wiki/Mato_Blomquist
21,Tremere,7th,,Carna (1435),Bourdana,https://whitewolf.fandom.com/wiki/Bourdana
22,Tremere,possibly 8th or 9th,,,Lloyd Brooks,https://whitewolf.fandom.com/wiki/Lloyd_Brooks
23,Tremere,11th,Giulia Romano,,Dante Bruneri,https://whitewolf.fandom.com/wiki/Dante_Bruneri
24,Tremere,7th,Astio Giavetti,"['Nigel Porter', ""Marie d'Richet""]",Antonio Calbullarshi,https://whitewolf.fandom.com/wiki/Antonio_Calbullarshi
25,Tremere,[],None (Created through ritual),Several/numerous,Calderon,https://whitewolf.fandom.com/wiki/Calderon
26,Tremere,6th,Elaine de Calinot (possibly),,Noelle Cameron,https://whitewolf.fandom.com/wiki/Noelle_Cameron
27,Tremere,10th,Frondator,,Arden Canty,https://whitewolf.fandom.com/wiki/Arden_Canty
28,Tremere,8th,Unknown,,Ian Carfax,https://whitewolf.fandom.com/wiki/Ian_Carfax
29,Tremere antitribu,unknown,,,Carmen,https://whitewolf.fandom.com/wiki/Carmen
30,Tremere,8th,Bourdana,Tessa Greene,Carna,https://whitewolf.fandom.com/wiki/Carna
31,Tremere,6th,Unknown,Andre Mallotte (1405),Casmir,https://whitewolf.fandom.com/wiki/Casmir
32,Tremere,11th,,The Courier (player dependent),Invidia Caul,https://whitewolf.fandom.com/wiki/Invidia_Caul
33,Tremere,6th,Etrius,"[""Augustin d'Erlette"", 'Ardan Lane (1107)']",Celestyn,https://whitewolf.fandom.com/wiki/Celestyn
34,Tremere,12th,Unknown,,Monica Chang,https://whitewolf.fandom.com/wiki/Monica_Chang
35,Tremere,unknown,,,Nicholas Chang,https://whitewolf.fandom.com/wiki/Nicholas_Chang
36,Tremere,,,,Maria Chin,https://whitewolf.fandom.com/wiki/Maria_Chin
37,Tremere,possibly 9th to 10th,,,Chrysanthemum,https://whitewolf.fandom.com/wiki/Chrysanthemum
38,Tremere,unknown,,,Charles Cipher,https://whitewolf.fandom.com/wiki/Charles_Cipher
39,Tremere Ghoul,,The Fates,,Natasha Clement,https://whitewolf.fandom.com/wiki/Natasha_Clement
40,Tremere,7th,Epistatia,,Paul Cordwood,https://whitewolf.fandom.com/wiki/Paul_Cordwood
41,Tremere,unknown,,"['Basil[1]', 'Several more']",Madeline Coventry,https://whitewolf.fandom.com/wiki/Madeline_Coventry
42,Tremere,8th,Percivax,Esoara,Curaferrum,https://whitewolf.fandom.com/wiki/Curaferrum
43,Tremere,8th,Antonio Calbullarshi,Dajan Siaka,Marie d'Richet,https://whitewolf.fandom.com/wiki/Marie_d%27Richet
44,Tremere,[],Unknown,Edward Bainbridge (1850),Elaine de Calinot,https://whitewolf.fandom.com/wiki/Elaine_de_Calinot
45,Tremere,"['7th (originally)', '6th (through diablerie)']",Maître Benoît,,Thomas de Cherbourg,https://whitewolf.fandom.com/wiki/Thomas_de_Cherbourg
46,Tremere,4th (Presumably by diablerie),,Tomás Marcello,Xavier de Cincao,https://whitewolf.fandom.com/wiki/Xavier_de_Cincao
47,Tremere,9th,Unknown,Aisling Sturbridge,Lucien de Maupassant,https://whitewolf.fandom.com/wiki/Lucien_de_Maupassant
48,Tremere,5th,Tremere Elder (possibly Meerlinda or Grimgroth),,John Dee (WOD),https://whitewolf.fandom.com/wiki/John_Dee_(WOD)
49,Tremere,7th,Eve Cavanant,,Luna Demian,https://whitewolf.fandom.com/wiki/Luna_Demian
50,Tremere,12th,,Masika St. John (1985),Anton Devereaux,https://whitewolf.fandom.com/wiki/Anton_Devereaux
51,Tremere (Telyavelic Tremere),unknown,Alferic,,Deverra,https://whitewolf.fandom.com/wiki/Deverra
52,Tremere,possibly 9th or 10th,Amelia Turpin,,Ayse Dhanial,https://whitewolf.fandom.com/wiki/Ayse_Dhanial
53,Tremere,unknown,,,Gabrielle di Righetti,https://whitewolf.fandom.com/wiki/Gabrielle_di_Righetti
54,Tremere,9th,Claas Drescher,,Anastasz di Zagreb,https://whitewolf.fandom.com/wiki/Anastasz_di_Zagreb
55,Tremere,5th,Meerlinda,,John Diamond,https://whitewolf.fandom.com/wiki/John_Diamond
56,Tremere,9th,Unknown,,Angel Dietrich,https://whitewolf.fandom.com/wiki/Angel_Dietrich
57,Tremere,5th,Etrius,,Divino,https://whitewolf.fandom.com/wiki/Divino
58,Tremere,7th,Simon Augustyn,,Peter Dorfman,https://whitewolf.fandom.com/wiki/Peter_Dorfman
59,Tremere,7th,,Julie Foster (1542),Marius Drake,https://whitewolf.fandom.com/wiki/Marius_Drake
60,Tremere,8th,Ardan of Golden Lane,Anastasz di Zagreb,Claas Drescher,https://whitewolf.fandom.com/wiki/Claas_Drescher
61,Tremere,10th,Graythwaite,,Jean-Michel du Pont-Ville,https://whitewolf.fandom.com/wiki/Jean-Michel_du_Pont-Ville
62,Tremere,7th,Nicolai Antonescu,"['Garwood Marshall (1937)', 'Elliot (1980)', 'Maldavis (1980)']",Abraham DuSable,https://whitewolf.fandom.com/wiki/Abraham_DuSable
63,Tremere,unknown,unknown,,Jean Entende,https://whitewolf.fandom.com/wiki/Jean_Entende
64,Tremere,6th (likely but not necessarily through diablerie),Goratrix,Paul Cordwood (1023),Epistatia,https://whitewolf.fandom.com/wiki/Epistatia
65,Tremere (Ipsissimus),7th,Nicolai Antonescu,Ehrich Weiss,Erichtho,https://whitewolf.fandom.com/wiki/Erichtho
66,Tremere,9th,Octavio Korrol,,Eugenio Estevez,https://whitewolf.fandom.com/wiki/Eugenio_Estevez
67,Tremere,[],none (Tremere through adoption),"['Mendacamina (1023)', 'Lotharius (1030)', 'Celestyn (1039)', 'Anastasia', 'Filaereus', 'Bitiurges (1202)', 'Astrid Thomas (1791)', 'Divino']",Etrius,https://whitewolf.fandom.com/wiki/Etrius
68,Tremere,unknown,,,Eugene (Tremere),https://whitewolf.fandom.com/wiki/Eugene_(Tremere)
69,Tremere,?,Katya,,Eva,https://whitewolf.fandom.com/wiki/Eva
70,Tremere,12th,,Clarence Bartleby (1995),Olivia Fairchild,https://whitewolf.fandom.com/wiki/Olivia_Fairchild
71,Tremere,6th,Shavrael,"['Valerius Maior (1652)', 'Lester Vance [1] (circa 1444)']",Mistress Fanchon,https://whitewolf.fandom.com/wiki/Mistress_Fanchon
72,Tremere,8th,Jervais,,Fidus,https://whitewolf.fandom.com/wiki/Fidus
73,Tremere,6th,Etrius,,Filaereus,https://whitewolf.fandom.com/wiki/Filaereus
74,Tremere antitribu,possibly 8th or 9th,,,Gerald Fitzgerald,https://whitewolf.fandom.com/wiki/Gerald_Fitzgerald
75,Tremere,,,,Graham Fleming,https://whitewolf.fandom.com/wiki/Graham_Fleming
76,Tremere,,,,Johnston Foley,https://whitewolf.fandom.com/wiki/Johnston_Foley
77,Tremere,8th,Marius Drake,,Julie Foster,https://whitewolf.fandom.com/wiki/Julie_Foster
78,Tremere,7th,,Theresa Kymena (1139 CE),Friedrich of Munich,https://whitewolf.fandom.com/wiki/Friedrich_of_Munich
79,Tremere,10th,Victor,,The Fury,https://whitewolf.fandom.com/wiki/The_Fury
80,Tremere,,,,Gallo,https://whitewolf.fandom.com/wiki/Gallo
81,Tremere,,,,Robert Garrick,https://whitewolf.fandom.com/wiki/Robert_Garrick
82,Tremere,10th,,,Brendan Garrity,https://whitewolf.fandom.com/wiki/Brendan_Garrity
83,Tremere,8th,Lucinda,,Gerard (Tremere),https://whitewolf.fandom.com/wiki/Gerard_(Tremere)
84,Tremere,6th,,Antonio Calbullarshi (1723),Astio Giavetti,https://whitewolf.fandom.com/wiki/Astio_Giavetti
85,Tremere,"['5th (originally)', '4th (through diablerie)']",Self-created,"['Epistatia (1022)', 'Therimna (1026)', 'Malgorzata (1097)', 'Orlando Oriundus']",Goratrix,https://whitewolf.fandom.com/wiki/Goratrix
86,Tremere,9th,,Jean-Michel du Pont-Ville (1805),Graythwaite,https://whitewolf.fandom.com/wiki/Graythwaite
87,Tremere,,,,Everett Greene,https://whitewolf.fandom.com/wiki/Everett_Greene
88,Tremere,4th,Tremere,[],Grimgroth,https://whitewolf.fandom.com/wiki/Grimgroth
89,Tremere,possibly 9th or 10th,,,Mason Ha,https://whitewolf.fandom.com/wiki/Mason_Ha
90,Tremere,6th,William Thorbecke,,Lille Haake,https://whitewolf.fandom.com/wiki/Lille_Haake
91,Tremere,unknown,,,Trevor Haidt,https://whitewolf.fandom.com/wiki/Trevor_Haidt
92,Tremere or Lasombra,12th,,,Marilyn Haig,https://whitewolf.fandom.com/wiki/Marilyn_Haig
93,Tremere,5th,,Patricia von Bernstein (1278),Hallstedt,https://whitewolf.fandom.com/wiki/Hallstedt
94,Tremere,unknown,"""Unknown""",Claudius Maximus,Lucas Halton,https://whitewolf.fandom.com/wiki/Lucas_Halton
95,Tremere Ghoul,,,,Kaitlyn Hammerstein,https://whitewolf.fandom.com/wiki/Kaitlyn_Hammerstein
96,Tremere antitribu,,,,Jie Han,https://whitewolf.fandom.com/wiki/Jie_Han
97,Tremere,7th,Abigail,,Hannah,https://whitewolf.fandom.com/wiki/Hannah
98,Tremere antitribu,9th,Unknown,,Hannigan,https://whitewolf.fandom.com/wiki/Hannigan
99,Tremere,,,,Hasanah,https://whitewolf.fandom.com/wiki/Hasanah
100,Tremere,9th,Van Hasen,,Eleanor Van Hasen,https://whitewolf.fandom.com/wiki/Eleanor_Van_Hasen
101,Tremere antitribu,8th,Maxwell Ldescu,Ludwig Aufenanger,Heinrich Himmler,https://whitewolf.fandom.com/wiki/Heinrich_Himmler
102,Tremere,8th,,Oswald Wächter (1844),Karl Hohenstein,https://whitewolf.fandom.com/wiki/Karl_Hohenstein
103,Tremere,Unknown,,,Holtz,https://whitewolf.fandom.com/wiki/Holtz
104,Tremere (Formerly),5th,Cornelius,,Ignatius,https://whitewolf.fandom.com/wiki/Ignatius
105,Tremere,10th,Dajan Siaka,,Imani,https://whitewolf.fandom.com/wiki/Imani
106,Tremere,,,,Imre,https://whitewolf.fandom.com/wiki/Imre
107,Tremere antitribu,7th,Unknown,,Jacob the Glitch,https://whitewolf.fandom.com/wiki/Jacob_the_Glitch
108,Tremere,,,,Jacqueline,https://whitewolf.fandom.com/wiki/Jacqueline
109,Tremere or Ministry,10th,,,Caroline Janson,https://whitewolf.fandom.com/wiki/Caroline_Janson
110,Tremere,7th,Malgorzata,"['Alexia Mavromatis', 'Viktor Nagy (1194)', 'Rutor (1200)', 'Fidus (ca. 1230)']",Jervais,https://whitewolf.fandom.com/wiki/Jervais
111,Tremere,,,,Karl Johansen,https://whitewolf.fandom.com/wiki/Karl_Johansen
112,Tremere,?,Unknown,Eva,Katya,https://whitewolf.fandom.com/wiki/Katya
113,Tremere,8th,,John Trent (1838),Muresh Kelbandu,https://whitewolf.fandom.com/wiki/Muresh_Kelbandu
114,Tremere,9th,Ophelia,,Sylvia Kilver,https://whitewolf.fandom.com/wiki/Sylvia_Kilver
115,Toreador,7th,Maria y Aragon,,Dieter Kleist,https://whitewolf.fandom.com/wiki/Dieter_Kleist
116,Tremere,unknown,,,Jasper Knowles,https://whitewolf.fandom.com/wiki/Jasper_Knowles
117,Tremere,"['8th (originally)', '7th (through diablerie)']",Friedrich of Munich,,Theresa Kymena,https://whitewolf.fandom.com/wiki/Theresa_Kymena
118,Tremere,,,,Francis Lambert,https://whitewolf.fandom.com/wiki/Francis_Lambert
119,Tremere,7th,Celestyn,Claas Drescher (1170),Ardan Lane,https://whitewolf.fandom.com/wiki/Ardan_Lane
120,Tremere,,,,Henrik Lang,https://whitewolf.fandom.com/wiki/Henrik_Lang
121,Tremere,unknown,,Layla Rivera,Layla's sire,https://whitewolf.fandom.com/wiki/Layla%27s_sire
122,Tremere,7th,Karl Schrekt,Heinrich Himmler (1945),Maxwell Ldescu,https://whitewolf.fandom.com/wiki/Maxwell_Ldescu
123,Tremere,"['5th (originally)', '4th (through Diablerie)']",Self-created,"['Maître Benoît, Regent of Rouen', 'Viorica, the Scarlet Witch, Regent of Tours']",LeDuc,https://whitewolf.fandom.com/wiki/LeDuc
124,Tremere,6th,Reginald of Durham,,Leland of Durham,https://whitewolf.fandom.com/wiki/Leland_of_Durham
125,Tremere antitribu (erroneously believed to be Toreador),unknown,Nickolai,,Leopold (Atlanta),https://whitewolf.fandom.com/wiki/Leopold_(Atlanta)
126,Tremere,,,,Jade Linh-Duplessis,https://whitewolf.fandom.com/wiki/Jade_Linh-Duplessis
127,Tremere,12th/9th?,Ehrich Weiss,,Felix Lodz,https://whitewolf.fandom.com/wiki/Felix_Lodz
128,Tremere,[],Etrius,Karl Schrekt (1235),Lotharius,https://whitewolf.fandom.com/wiki/Lotharius
0,Tremere,10th,,,Lucian (Anarch),https://whitewolf.fandom.com/wiki/Lucian_(Anarch)
1,Tremere,7th,,Gerard,Lucinda,https://whitewolf.fandom.com/wiki/Lucinda
2,Tremere,7th,Unknown,Ephraim Wainwright,Aidan Lyle,https://whitewolf.fandom.com/wiki/Aidan_Lyle
3,Tremere antitribu,"['7th (originally)', '12th (post-1998)']",Mistress Fanchon,,Valerius Maior,https://whitewolf.fandom.com/wiki/Valerius_Maior
4,Tremere,6th,Goratrix,"['Jervais (1102 CE)', 'Itera (1197 CE)']",Malgorzata,https://whitewolf.fandom.com/wiki/Malgorzata
5,Tremere,7th,Casmir,Rose Chandler,Andre Mallotte,https://whitewolf.fandom.com/wiki/Andre_Mallotte
6,Tremere,unknown,,,Mara (Tremere),https://whitewolf.fandom.com/wiki/Mara_(Tremere)
7,Tremere,5th,Xavier de Cincao,,Tomás Marcello,https://whitewolf.fandom.com/wiki/Tom%C3%A1s_Marcello
8,Tremere,5th,Meerlinda,,Marissa,https://whitewolf.fandom.com/wiki/Marissa
9,Tremere antitribu,[],Unknown,Yasmin,Marnius,https://whitewolf.fandom.com/wiki/Marnius
10,Tremere (Ipsissimus),8th,Abraham DuSable,,Garwood Marshall,https://whitewolf.fandom.com/wiki/Garwood_Marshall
11,Tremere,unknown,Lucas Halton,,Claudius Maximus,https://whitewolf.fandom.com/wiki/Claudius_Maximus
12,Tremere,11th,,Nazeera (1981),Annais Mazet,https://whitewolf.fandom.com/wiki/Annais_Mazet
13,Tremere,"['5th (originally)', '4th (through diablerie)']",self-created,"['Reginald of Durham (1100)', 'Abetorius (1103)', 'Geraint de Montfort', 'Ulugh Begh (1253)', 'John Diamond (Late 18th Century)', 'Marissa (1812)', 'Anton Wellig', 'John Dee (Possibly)']",Meerlinda,https://whitewolf.fandom.com/wiki/Meerlinda
14,Tremere,6th,Etrius,,Mendacamina,https://whitewolf.fandom.com/wiki/Mendacamina
15,Tremere Antitribu,6th,unknown,,Lord Mendel,https://whitewolf.fandom.com/wiki/Lord_Mendel
16,Tremere,7th,Karl Schreckt (Presumably),,Nathan Mendelssohn,https://whitewolf.fandom.com/wiki/Nathan_Mendelssohn
17,Tremere antitribu,unknown,,,Elena Mendoza Vasquez,https://whitewolf.fandom.com/wiki/Elena_Mendoza_Vasquez
18,Tremere,6th,,Mortius (1566),Mesita,https://whitewolf.fandom.com/wiki/Mesita
19,Tremere,10th,unknown,,Alice Mockingdale,https://whitewolf.fandom.com/wiki/Alice_Mockingdale
20,Tremere,10th,Claus Wegener,,Tarrence Moore,https://whitewolf.fandom.com/wiki/Tarrence_Moore
21,Tremere,,,,Mordblund,https://whitewolf.fandom.com/wiki/Mordblund
22,Tremere,7th,Mesita,,Mortius,https://whitewolf.fandom.com/wiki/Mortius
23,Tremere,,,,Clyde Moses,https://whitewolf.fandom.com/wiki/Clyde_Moses
24,Tremere,8th,Jervais,,Viktor Nagy,https://whitewolf.fandom.com/wiki/Viktor_Nagy
25,Tremere,12th,Annais Mazet,,Nazeera,https://whitewolf.fandom.com/wiki/Nazeera
26,Tremere antitribu,unknown,,Leopold,Nickolai,https://whitewolf.fandom.com/wiki/Nickolai
27,Tremere,8th,,Sylvia Kilver (1923),Ophelia (Tremere),https://whitewolf.fandom.com/wiki/Ophelia_(Tremere)
28,Tremere antitribu,5th,Goratrix,,Orlando Oriundus,https://whitewolf.fandom.com/wiki/Orlando_Oriundus
29,Tremere,10th,Unknown,Mildred Woods,Deneb Osborne,https://whitewolf.fandom.com/wiki/Deneb_Osborne
30,Tremere,,,,Pachard,https://whitewolf.fandom.com/wiki/Pachard
31,Tremere,possibly 8th or 9th,,,Trevon Parker,https://whitewolf.fandom.com/wiki/Trevon_Parker
32,Tremere,12th,Markos,,Persa,https://whitewolf.fandom.com/wiki/Persa
33,Tremere,11th,,"['Persa', 'The Caitiff (adopted; player-determined)']",Markos Petrou,https://whitewolf.fandom.com/wiki/Markos_Petrou
34,Tremere,,,Lisl ghoul,Louis Pettigrass,https://whitewolf.fandom.com/wiki/Louis_Pettigrass
35,Tremere,,,,Abe Powell,https://whitewolf.fandom.com/wiki/Abe_Powell
36,Tremere,unknown,Unknown,Sodalis,Probitas,https://whitewolf.fandom.com/wiki/Probitas
37,Tremere,,,,Quilla,https://whitewolf.fandom.com/wiki/Quilla
38,Tremere,9th,Melchett,,Rachael,https://whitewolf.fandom.com/wiki/Rachael
39,Tremere,11th,,Sun Che (2003),Jennifer Rees,https://whitewolf.fandom.com/wiki/Jennifer_Rees
40,Tremere,5th,Meerlinda,Leland of Durham (1102 CE),Reginald of Durham,https://whitewolf.fandom.com/wiki/Reginald_of_Durham
41,Tremere,7th,Johann Kaspar,Janis Wakefield,John Reiss,https://whitewolf.fandom.com/wiki/John_Reiss
42,Tremere,,,,Felix Ritter,https://whitewolf.fandom.com/wiki/Felix_Ritter
43,Tremere,unknown,Layla's sire,,Layla Rivera,https://whitewolf.fandom.com/wiki/Layla_Rivera
44,Tremere,,,,Gregory Roiters,https://whitewolf.fandom.com/wiki/Gregory_Roiters
45,Tremere,unknown,,Mahalia Romano,Jean Baptiste Morin,https://whitewolf.fandom.com/wiki/Jean_Baptiste_Morin
46,Tremere,unknown,Jean Baptiste Morin,,Mahalia Romano,https://whitewolf.fandom.com/wiki/Mahalia_Romano
47,Tremere,10th,Helena Taylor,,Cohn Rose,https://whitewolf.fandom.com/wiki/Cohn_Rose
48,Tremere,"['8th', '7th (by diablerie)']",Jervais,,Rutor,https://whitewolf.fandom.com/wiki/Rutor
49,Ventrue,9th,Upton Rowlands,,Maddox Samuels,https://whitewolf.fandom.com/wiki/Maddox_Samuels
50,Tremere,9th,Annabelle,,Valois Sang,https://whitewolf.fandom.com/wiki/Valois_Sang
51,Tremere,10th,Thomas Thorne,Amrish Bakshi (ghoul),Sri Sansa,https://whitewolf.fandom.com/wiki/Sri_Sansa
52,Tremere,11th,Marguerite Voss,,Hans Schmidt,https://whitewolf.fandom.com/wiki/Hans_Schmidt
53,Tremere,"['6th (originally)', '5th (through diablerie)']",Lotharius,"['Nathan Mendelssohn (1634)', 'Maxwell Ldescu (1882)']",Karl Schrekt,https://whitewolf.fandom.com/wiki/Karl_Schrekt
54,Tremere,unknown,,,Selena (Tremere),https://whitewolf.fandom.com/wiki/Selena_(Tremere)
55,Tremere,5th,,Mistress Fanchon (1223 or 1357 CE),Shavrael,https://whitewolf.fandom.com/wiki/Shavrael
56,Tremere,,Francis Lambert,Will,Sheila (Kindred),https://whitewolf.fandom.com/wiki/Sheila_(Kindred)
57,Tremere,10th,Friedrich Kreizer,,Kyoko Shinsegawa,https://whitewolf.fandom.com/wiki/Kyoko_Shinsegawa
58,Tremere,9th,Marie d'Richet,Imani,Dajan Siaka,https://whitewolf.fandom.com/wiki/Dajan_Siaka
59,Tremere,7th,Mariah Haige,,Zachariah Slane,https://whitewolf.fandom.com/wiki/Zachariah_Slane
60,Tremere,10th,Cassandra Lee,,Opal St. Claire,https://whitewolf.fandom.com/wiki/Opal_St._Claire
61,Tremere,,,,Jean St. Frederique,https://whitewolf.fandom.com/wiki/Jean_St._Frederique
62,Tremere,13th,Anton Devereaux,,Masika St. John,https://whitewolf.fandom.com/wiki/Masika_St._John
63,Tremere Ghoul,,,,Stephen (ghoul),https://whitewolf.fandom.com/wiki/Stephen_(ghoul)
64,Tremere,,,,Andrew Stewart,https://whitewolf.fandom.com/wiki/Andrew_Stewart
65,Tremere,possibly 7th,,,Maximillian Strauss,https://whitewolf.fandom.com/wiki/Maximillian_Strauss
66,Tremere,5th,,Nicolai Antonescu (1314),Stromberg,https://whitewolf.fandom.com/wiki/Stromberg
67,Tremere,10th,Lucien de Maupassant,Agathon,Aisling Sturbridge,https://whitewolf.fandom.com/wiki/Aisling_Sturbridge
68,Tremere,12th,Ramon Alvaro,,Almiro Suarez,https://whitewolf.fandom.com/wiki/Almiro_Suarez
69,Tremere,12th,Jennifer Rees,Bennett Steadman,Sun Che,https://whitewolf.fandom.com/wiki/Sun_Che
70,Tremere,9th,Jack Weston,"['Pieter van Dorn', 'Cohn Rose']",Helena Taylor,https://whitewolf.fandom.com/wiki/Helena_Taylor
71,Tremere (Birmingham Chantry),10th,unknown,numerous,The Fates (Tremere),https://whitewolf.fandom.com/wiki/The_Fates_(Tremere)
72,Tremere,6th,Goratrix,Locus,Therimna,https://whitewolf.fandom.com/wiki/Therimna
73,Tremere,5th,Etrius,,Astrid Thomas,https://whitewolf.fandom.com/wiki/Astrid_Thomas
74,Tremere,5th,,Lille Haake (1784 CE),William Thorbecke,https://whitewolf.fandom.com/wiki/William_Thorbecke
75,Tremere,unknown,,,Amelia Thorn,https://whitewolf.fandom.com/wiki/Amelia_Thorn
76,Tremere,9th,,Sri Sansa (1879),Thomas Thorne,https://whitewolf.fandom.com/wiki/Thomas_Thorne
77,Tremere,6th,Unknown,"['Wan Zhu (1974)', 'James Morlock']",Oliver Thrace,https://whitewolf.fandom.com/wiki/Oliver_Thrace
78,Tremere,8th,,Victor (1950),Traska,https://whitewolf.fandom.com/wiki/Traska
79,Tremere,3rd (through the diablerie of Saulot),Self-created,"['Grimgroth', 'Cornelius (Possibly)']",Tremere (Founder),https://whitewolf.fandom.com/wiki/Tremere_(Founder)
80,Tremere,[],Muresh Kelbandu,,John Trent,https://whitewolf.fandom.com/wiki/John_Trent
81,Tremere,9th,Nikolai Brust,,Tshaya,https://whitewolf.fandom.com/wiki/Tshaya
82,Tremere,5th,Meerlinda,,Ulugh Begh,https://whitewolf.fandom.com/wiki/Ulugh_Begh
83,Tremere,,,,Safia Ulusoy,https://whitewolf.fandom.com/wiki/Safia_Ulusoy
84,Tremere,10th,Helena Taylor,,Pieter van Dorn,https://whitewolf.fandom.com/wiki/Pieter_van_Dorn
85,Tremere,8th,,Eleanor Van Hasen (1715),Van Hasen,https://whitewolf.fandom.com/wiki/Van_Hasen
86,Tremere,7th,Mistress Fanchon,,Lester Vance,https://whitewolf.fandom.com/wiki/Lester_Vance
87,Tremere,,,,Lynn Vance,https://whitewolf.fandom.com/wiki/Lynn_Vance
88,Tremere,8th,,,Preston Varrick,https://whitewolf.fandom.com/wiki/Preston_Varrick
89,Tremere,12th,Quentin Norten,,Roberto Vega,https://whitewolf.fandom.com/wiki/Roberto_Vega
90,Tremere,unknown,,,Verbruch,https://whitewolf.fandom.com/wiki/Verbruch
91,Tremere,9th,Traska,The Fury,Victor,https://whitewolf.fandom.com/wiki/Victor
92,Tremere,6th,LeDuc,,Viorica,https://whitewolf.fandom.com/wiki/Viorica
93,Tremere,8th,Brunavog,,Virstania,https://whitewolf.fandom.com/wiki/Virstania
94,Tremere,6th,Hallstedt,,Patricia von Bernstein,https://whitewolf.fandom.com/wiki/Patricia_von_Bernstein
95,Tremere,10th,,Hans Schmidt (1940),Marguerite Voss,https://whitewolf.fandom.com/wiki/Marguerite_Voss
96,Tremere,8th,Aidan Lyle,,Ephraim Wainwright,https://whitewolf.fandom.com/wiki/Ephraim_Wainwright
97,Tremere,8th,John Reiss,,Janis Wakefield,https://whitewolf.fandom.com/wiki/Janis_Wakefield
98,Tremere,7th,Oliver Thrace,,Wan Zhu,https://whitewolf.fandom.com/wiki/Wan_Zhu
99,Tremere,9th,,Tarrence Moore (1932),Claus Wegener,https://whitewolf.fandom.com/wiki/Claus_Wegener
100,Tremere,11th/8th?,Erichtho,"['Ilse Decameron[1]', 'Felix Lodz[2]']",Ehrich Weiss,https://whitewolf.fandom.com/wiki/Ehrich_Weiss
101,Tremere,10th,Sean O'Meara,,Frank Weisshadel,https://whitewolf.fandom.com/wiki/Frank_Weisshadel
102,Tremere,,Unknown Tremere,,Calder Wendt,https://whitewolf.fandom.com/wiki/Calder_Wendt
103,Tremere,8th,Sebastian Meredith,,Bradley Wilkins,https://whitewolf.fandom.com/wiki/Bradley_Wilkins
104,Tremere,,,,Winters,https://whitewolf.fandom.com/wiki/Winters
105,Tremere,unknown,,,David Witz,https://whitewolf.fandom.com/wiki/David_Witz
106,Tremere,10th,,,Lesley Woodrow,https://whitewolf.fandom.com/wiki/Lesley_Woodrow
107,Tremere,11th,Deneb Osborne,,Mildred Woods,https://whitewolf.fandom.com/wiki/Mildred_Woods
108,Tremere,4th (Presumably by diablerie),,,Thomas Wyncham,https://whitewolf.fandom.com/wiki/Thomas_Wyncham
109,Tremere,9th,Karl Hohenstein,,Oswald Wächter,https://whitewolf.fandom.com/wiki/Oswald_W%C3%A4chter
110,Tremere,,,,Xavier (Tremere),https://whitewolf.fandom.com/wiki/Xavier_(Tremere)
111,Tremere antitribu,7th,Marnius,,Yasmin the Black,https://whitewolf.fandom.com/wiki/Yasmin_the_Black
