,Clan,Generation,Sire,Childer,Name,Link,Sire_Link
0,"['Cappadocian', 'Harbingers of Skulls']",5th,Unknown,"['Adam', 'Theophilus']",Abraham,https://whitewolf.fandom.com/wiki/Abraham,
1,Cappadocian,3rd,Irad,"['Caias', 'Japheth', 'Humuusa', 'Byzar/Mahatma', 'Lazarus', 'Augustus Giovanni']",Cappadocius,https://whitewolf.fandom.com/wiki/Cappadocius,https://whitewolf.fandom.com/wiki/Irad
2,Cappadocian,6th,Abraham,,Adam (Cappadocian),https://whitewolf.fandom.com/wiki/Adam_(Cappadocian),https://whitewolf.fandom.com/wiki/Abraham
3,Cappadocian,6th,Kyros of Antioch,"Bela Rusenko (1044)
Several",Amalia of Thrace,https://whitewolf.fandom.com/wiki/Amalia_of_Thrace,https://whitewolf.fandom.com/wiki/Kyros_of_Antioch
4,Cappadocian,5th,Lazarus,,Angelique,https://whitewolf.fandom.com/wiki/Angelique,https://whitewolf.fandom.com/wiki/Lazarus
5,Cappadocian,6th,Malenchaenos,Rudori,Apacia,https://whitewolf.fandom.com/wiki/Apacia,https://whitewolf.fandom.com/wiki/Malenchaenos
6,Cappadocian (Lamia),unknown,,,Artemisia (Lamia),https://whitewolf.fandom.com/wiki/Artemisia_(Lamia),
7,Cappadocian,7th,Lord Camden,,María Asunción,https://whitewolf.fandom.com/wiki/Mar%C3%ADa_Asunci%C3%B3n,https://whitewolf.fandom.com/wiki/Roger_de_Camden
8,Cappadocian,6th,Enheduanna,Drenis,Asushunamir,https://whitewolf.fandom.com/wiki/Asushunamir,https://whitewolf.fandom.com/wiki/Enheduanna_(VTM)
9,Cappadocian,unknown,,,Pietro Caetani,https://whitewolf.fandom.com/wiki/Pietro_Caetani,
10,Hecata (Harbingers of Ashur),"6th (formerly)
5th (after ritual)",Constancia,"['María Asunción', 'Many childer']",Roger de Camden,https://whitewolf.fandom.com/wiki/Roger_de_Camden,https://whitewolf.fandom.com/wiki/Constancia
11,Cappadocian,3rd,Irad,"['Caias', 'Japheth', 'Humuusa', 'Byzar/Mahatma', 'Lazarus', 'Augustus Giovanni']",Cappadocius,https://whitewolf.fandom.com/wiki/Cappadocius,https://whitewolf.fandom.com/wiki/Irad
12,Cappadocian,4th,Cappadocius,"['Constancia', 'Unre', 'Dionysius (599 BCE)']",Japheth,https://whitewolf.fandom.com/wiki/Japheth,https://whitewolf.fandom.com/wiki/Cappadocius
13,"['Hecata', 'Original clan unknown', 'Presumed Cappadocian']",unknown,unknown,,Capuchin,https://whitewolf.fandom.com/wiki/Capuchin,
14,Hecata (Cappadocian),5th,Japheth,"['Ambrogino Giovanni', 'Lord Camden']",Constancia,https://whitewolf.fandom.com/wiki/Constancia,https://whitewolf.fandom.com/wiki/Japheth
15,Cappadocians,5th,Japheth,,Dionysius (VTM),https://whitewolf.fandom.com/wiki/Dionysius_(VTM),https://whitewolf.fandom.com/wiki/Japheth
16,Cappadocian (Lamia),9th,,Raíz (1933),Dora,https://whitewolf.fandom.com/wiki/Dora,
17,Cappadocian,7th,Asushunamir,,Drenis,https://whitewolf.fandom.com/wiki/Drenis,https://whitewolf.fandom.com/wiki/Asushunamir
18,Cappadocian,5th,Humuusa,Asushunamir,Enheduanna (VTM),https://whitewolf.fandom.com/wiki/Enheduanna_(VTM),https://whitewolf.fandom.com/wiki/Humuusa
19,"Cappadocian Harbinger (Formerly)
Harbingers of Skulls",9th,Unknown,,Erebus (Harbinger of Skulls),https://whitewolf.fandom.com/wiki/Erebus_(Harbinger_of_Skulls),
20,Cappadocian,9th,Jervais,"['Mercurio', 'Serena Praha']",Garinol,https://whitewolf.fandom.com/wiki/Garinol,https://whitewolf.fandom.com/wiki/Jervais_(Cappadocian)
21,Cappadocian (Giovanni),,,,Alvarez Giovanni,https://whitewolf.fandom.com/wiki/Alvarez_Giovanni,
22,Hecata (Cappadocian),"5th (Through diablerie)
6th (Originally)",Constancia,"['Lucretia Giovanni (1205)', 'Gillespi Giovanni', 'Baldesar Rossellini (1446)']",Ambrogino Giovanni,https://whitewolf.fandom.com/wiki/Ambrogino_Giovanni,https://whitewolf.fandom.com/wiki/Constancia
23,Cappadocian / Giovanni,"['4th (originally)', '3rd (through diablerie)']",Cappadocius,"['Claudius Giovanni (1035 CE)', 'Ignazio Giovanni']",Augustus Giovanni,https://whitewolf.fandom.com/wiki/Augustus_Giovanni,https://whitewolf.fandom.com/wiki/Cappadocius
24,Cappadocian / Giovanni,5th (possibly 4th),Augustus Giovanni,"['Marianna (1444)', 'Giuseppe Giovanni', 'Andreas Giovanni']",Claudius Giovanni,https://whitewolf.fandom.com/wiki/Claudius_Giovanni,https://whitewolf.fandom.com/wiki/Augustus_Giovanni
25,Cappadocian (Giovanni),6th,Claudius Giovanni,Markus Musa Giovanni (1080 CE),Giuseppe Giovanni,https://whitewolf.fandom.com/wiki/Giuseppe_Giovanni,https://whitewolf.fandom.com/wiki/Claudius_Giovanni
26,Cappadocian / Giovanni,unknown (Likely 5th),unknown (Likely Augustus Giovanni),,Ignazio Giovanni,https://whitewolf.fandom.com/wiki/Ignazio_Giovanni,https://whitewolf.fandom.com/wiki/Augustus_Giovanni
27,Cappadocians / Giovanni,6th,Unknown,,Justus Giovanni,https://whitewolf.fandom.com/wiki/Justus_Giovanni,
28,Cappadocian/Giovanni,"6th (through diablerie)
7th (originally)",Ambrogino Giovanni,Andreas Giovanni,Lucretia Giovanni,https://whitewolf.fandom.com/wiki/Lucretia_Giovanni,https://whitewolf.fandom.com/wiki/Ambrogino_Giovanni
29,Cappadocian (Giovanni),7th,Guisseppi Giovanni,,Markus Musa Giovanni,https://whitewolf.fandom.com/wiki/Markus_Musa_Giovanni,https://whitewolf.fandom.com/wiki/Guisseppi_Giovanni
30,Cappadocian,5th,Unknown,Hel-Blár (likely),Guðrunn,https://whitewolf.fandom.com/wiki/Gu%C3%B0runn,
31,Cappadocian,,Lucas Moravis,,Habakkuk,https://whitewolf.fandom.com/wiki/Habakkuk,https://whitewolf.fandom.com/wiki/Lucas_Moravis
32,Cappadocian (Lamia),,,,Jinno Hatsumi,https://whitewolf.fandom.com/wiki/Jinno_Hatsumi,
33,Cappadocian,4th,Ashur,"Enheduanna
Possibly numerous",Humuusa,https://whitewolf.fandom.com/wiki/Humuusa,https://whitewolf.fandom.com/wiki/Cappadocius
34,Cappadocian,8th,,Garinol (1099),Jervais (Cappadocian),https://whitewolf.fandom.com/wiki/Jervais_(Cappadocian),
35,"['Cappadocian (formerly)', 'Harbingers of Skulls (formerly)', 'Hecata (current)']",6th,Malenchaenos,,Khurshid,https://whitewolf.fandom.com/wiki/Khurshid,https://whitewolf.fandom.com/wiki/Malenchaenos
36,Cappadocian,4th,Cappadocius,Many unknown,Caias Koine,https://whitewolf.fandom.com/wiki/Caias_Koine,https://whitewolf.fandom.com/wiki/Cappadocius
37,Cappadocian,5th,,Amalia of Thrace (400 CE),Kyros of Antioch,https://whitewolf.fandom.com/wiki/Kyros_of_Antioch,
38,Cappadocian/Lamia,5th,Lazarus,Lamia bloodline,Lamia (Founder),https://whitewolf.fandom.com/wiki/Lamia_(Founder),https://whitewolf.fandom.com/wiki/Lazarus
39,Cappadocian,4th,Cappadocius,"['Angelique (1st century)', 'Lamia', 'Baron Samedi (possibly)']",Lazarus,https://whitewolf.fandom.com/wiki/Lazarus,https://whitewolf.fandom.com/wiki/Cappadocius
40,Cappadocian,,,,Anisa Marianna Lopez,https://whitewolf.fandom.com/wiki/Anisa_Marianna_Lopez,
41,Cappadocian,4th,Laodice,"Alexia Theusa (308 BCE)
Likely several",Mahatma,https://whitewolf.fandom.com/wiki/Mahatma,https://whitewolf.fandom.com/wiki/Laodice
42,Cappadocian,5th,unknown,"['Apacia (Late 500s BCE)', 'Khurshid (Late 600s CE)']",Malenchaenos,https://whitewolf.fandom.com/wiki/Malenchaenos,
43,Cappadocian,7th,Theophilis,,Marcus (Cappadocian),https://whitewolf.fandom.com/wiki/Marcus_(Cappadocian),
44,"['Cappadocian (Giovanni) (formerly)', 'Hecata (Harbingers of Ashur)']",6th,Claudius Giovanni,,Marianna (VTM),https://whitewolf.fandom.com/wiki/Marianna_(VTM),https://whitewolf.fandom.com/wiki/Claudius_Giovanni
45,Cappadocian,10th,Garinol,,Mercurio (Cappadocian),https://whitewolf.fandom.com/wiki/Mercurio_(Cappadocian),https://whitewolf.fandom.com/wiki/Garinol
46,Hecata (Harbingers of Ashur),,,,Mora,https://whitewolf.fandom.com/wiki/Mora,
47,Cappadocian,,,Habakkuk (1136),Lucas Moravis,https://whitewolf.fandom.com/wiki/Lucas_Moravis,
48,Cappadocian,,,,Penelope,https://whitewolf.fandom.com/wiki/Penelope,
49,Hecata (Cappadocian),10th,Garinol,,Serena Praha,https://whitewolf.fandom.com/wiki/Serena_Praha,https://whitewolf.fandom.com/wiki/Garinol
50,Cappadocian,7th,Apacia,,Rudori,https://whitewolf.fandom.com/wiki/Rudori,https://whitewolf.fandom.com/wiki/Apacia
51,Cappadocian,7th,Amalia of Thrace,"['Ladislav', 'Erika']",Bela Rusenko,https://whitewolf.fandom.com/wiki/Bela_Rusenko,https://whitewolf.fandom.com/wiki/Amalia_of_Thrace
52,Cappadocian,5th,Byzar,The Emperors,Alexia Theusa,https://whitewolf.fandom.com/wiki/Alexia_Theusa,https://whitewolf.fandom.com/wiki/Byzar
53,Cappadocian,Unknown (4th if she sired Samedi),"['Unknown', 'Cappadocius (Presumbly)']",Baron Samedi (Presumbly),Troglodytia,https://whitewolf.fandom.com/wiki/Troglodytia,https://whitewolf.fandom.com/wiki/Cappadocius
54,Harbingers of Skulls/Harbingers of Ashur (Supposedly),5th,Japheth,,Unre,https://whitewolf.fandom.com/wiki/Unre,https://whitewolf.fandom.com/wiki/Japheth
55,"Harbingers of Skulls
Formerly Cappadocian",8th,Unknown,,La Viuda Blanca,https://whitewolf.fandom.com/wiki/La_Viuda_Blanca,
56,Cappadocian,8th,,The Little Deaths,Zohreh,https://whitewolf.fandom.com/wiki/Zohreh,
